KARLSRUHE; Karlsruhe
STUTTGART; Stuttgart
HALLE; Halle
MUENCHEN; Muenchen
KASSEL; Kassel
WURZBURG; Wurzburg
NURNBERG; Nurnberg
AUGSBURG; Augsburg
GOETTINGEN; Goettingen
MANNHEIM CITY; Mannheim
ULM (MIL/MET); Ulm
HEIDELBERG; Heidelberg
MAINZ; Mainz
HANAU; Hanau
WIESBADEN; Wiesbaden
FULDA; Fulda
PARIS-14E PARC MONTSOURIS; Paris
STRASBOURG-ENTZHEIM            GSN; Strasbourg
MARSEILLE OBS. PALAIS-LONCHAMP; Marseille
